Id,Titulo,Rubro,Zona,Descripcion
1,Trabajo,Pintor,Calle Belgrano,Pintura de una fachada de una casa
2,Trabajo,Instalacion de Aire Acondicionado,Calle San Martín,Reparación de un aire acondicionado en una oficina
3,Trabajo,Instalacion de Aire Acondicionado,Avenida Argentina,Reparación de un aire acondicionado en una oficina
4,Trabajo,Plomero,Calle San Martín,Reemplazo de un grifo de cocina en una casa
5,Trabajo,Instalacion de Aire Acondicionado,Calle Belgrano,Reparación de un aire acondicionado en una oficina
6,Trabajo,Instalacion de Aire Acondicionado,Calle Belgrano,Reparación de un aire acondicionado en una oficina
7,Trabajo,Electricista,Calle San Martín,Instalación de luces exteriores en un jardín
8,Trabajo,Instalacion de Aire Acondicionado,Avenida Argentina,Reparación de un aire acondicionado en una oficina
9,Trabajo,Pintor,Avenida Argentina,Pintura de una cerca de madera en un patio trasero
10,Trabajo,Pintor,Calle Belgrano,Pintar una habitación en un apartamento
11,Trabajo,Instalacion de Aire Acondicionado,Avenida Argentina,Reparación de un aire acondicionado en una oficina
12,Trabajo,Plomero,Calle Belgrano,Reemplazo de un grifo de cocina en una casa
13,Trabajo,Jardinero,Avenida Argentina,Podar árboles y arbustos en un jardín comunitario
14,Trabajo,Plomero,Avenida Libertador,Reemplazo de un grifo de cocina en una casa
15,Trabajo,Jardinero,Calle Belgrano,Podar árboles y arbustos en un jardín comunitario
16,Trabajo,Jardinero,Calle Belgrano,Instalación de un sistema de riego en un jardín
17,Trabajo,Instalacion de Aire Acondicionado,Calle Belgrano,Reparación de un aire acondicionado en una oficina
18,Trabajo,Electricista,Avenida Argentina,Instalación de un nuevo sistema eléctrico en una casa antigua
19,Trabajo,Instalacion de Aire Acondicionado,Avenida Libertador,Reparación de un aire acondicionado en una oficina
20,Trabajo,Instalacion de Aire Acondicionado,Calle San Martín,Reparación de un aire acondicionado en una oficina
21,Trabajo,Instalacion de Aire Acondicionado,Avenida Argentina,Reparación de un aire acondicionado en una oficina
22,Trabajo,Electricista,Avenida Libertador,Instalación de luces exteriores en un jardín
23,Trabajo,Electricista,Avenida Argentina,Instalación de un nuevo sistema eléctrico en una casa antigua
24,Trabajo,Jardinero,Avenida Argentina,Podar árboles y arbustos en un jardín comunitario
25,Trabajo,Pintor,Avenida Argentina,Pintar una habitación en un apartamento
26,Trabajo,Plomero,Avenida Argentina,Reemplazo de un grifo de cocina en una casa
27,Trabajo,Instalacion de Aire Acondicionado,Calle San Martín,Reparación de un aire acondicionado en una oficina
28,Trabajo,Pintor,Avenida Argentina,Pintura de una fachada de una casa
29,Trabajo,Jardinero,Calle San Martín,Podar árboles y arbustos en un jardín comunitario
30,Trabajo,Electricista,Calle San Martín,Instalación de un nuevo sistema eléctrico en una casa antigua
31,Trabajo,Plomero,Calle San Martín,Reparación de una fuga en una tubería de agua
32,Trabajo,Electricista,Calle San Martín,Instalación de luces exteriores en un jardín
33,Trabajo,Instalacion de Aire Acondicionado,Avenida Libertador,Reparación de un aire acondicionado en una oficina
34,Trabajo,Pintor,Avenida Libertador,Pintura de una cerca de madera en un patio trasero
35,Trabajo,Jardinero,Calle San Martín,Instalación de un sistema de riego en un jardín
36,Trabajo,Instalacion de Aire Acondicionado,Calle Belgrano,Reparación de un aire acondicionado en una oficina
37,Trabajo,Pintor,Calle Belgrano,Pintura de una fachada de una casa
38,Trabajo,Electricista,Avenida Argentina,Instalación de luces exteriores en un jardín
39,Trabajo,Instalacion de Aire Acondicionado,Calle Belgrano,Reparación de un aire acondicionado en una oficina
40,Trabajo,Jardinero,Calle Belgrano,Instalación de un sistema de riego en un jardín
41,Trabajo,Electricista,Calle San Martín,Instalación de un nuevo sistema eléctrico en una casa antigua
42,Trabajo,Plomero,Calle San Martín,Reparación de una fuga en una tubería de agua
43,Trabajo,Pintor,Avenida Libertador,Pintura de una cerca de madera en un patio trasero
44,Trabajo,Electricista,Calle San Martín,Instalación de un nuevo sistema eléctrico en una casa antigua
45,Trabajo,Pintor,Avenida Argentina,Pintura de una fachada de una casa
46,Trabajo,Pintor,Calle San Martín,Pintura de una cerca de madera en un patio trasero
47,Trabajo,Instalacion de Aire Acondicionado,Calle San Martín,Reparación de un aire acondicionado en una oficina
48,Trabajo,Electricista,Calle San Martín,Instalación de un nuevo sistema eléctrico en una casa antigua
49,Trabajo,Instalacion de Aire Acondicionado,Calle San Martín,Reparación de un aire acondicionado en una oficina
50,Trabajo,Plomero,Avenida Libertador,Reemplazo de un grifo de cocina en una casa
51,Trabajo,Instalacion de Aire Acondicionado,Avenida Argentina,Reparación de un aire acondicionado en una oficina
52,Trabajo,Jardinero,Avenida Libertador,Podar árboles y arbustos en un jardín comunitario
53,Trabajo,Instalacion de Aire Acondicionado,Calle Belgrano,Reparación de un aire acondicionado en una oficina
54,Trabajo,Instalacion de Aire Acondicionado,Calle San Martín,Reparación de un aire acondicionado en una oficina
55,Trabajo,Electricista,Calle Belgrano,Instalación de luces exteriores en un jardín
56,Trabajo,Electricista,Avenida Libertador,Instalación de un nuevo sistema eléctrico en una casa antigua
57,Trabajo,Pintor,Avenida Libertador,Pintura de una fachada de una casa
58,Trabajo,Instalacion de Aire Acondicionado,Avenida Libertador,Reparación de un aire acondicionado en una oficina
